TraesCS1A03G0000100LC.1	542
TraesCS1A03G0000800.1	47
TraesCS1A03G0001500.1	23
TraesCS1A03G0001700.1	112
TraesCS1A03G0002200.1	1
TraesCS1A03G0004000.1	18
TraesCS1A03G0004200.3	169
TraesCS1A03G0004400.1	20
TraesCS1A03G0004500.1	208
TraesCS1A03G0004600LC.1	22
TraesCS1A03G0004700LC.1	6
TraesCS1A03G0004800LC.1	28
TraesCS1A03G0004900.1	79
TraesCS1A03G0005200.1	14
TraesCS1A03G0005400LC.2	8
TraesCS1A03G0005600.1	27
TraesCS1A03G0007200LC.1	6
TraesCS1A03G0008800LC.1	10
TraesCS1A03G0009000.1	13
TraesCS1A03G0009200.1	16
TraesCS1A03G0009700.1	40
TraesCS1A03G0012700.1	37
TraesCS1A03G0012900.1	22
TraesCS1A03G0015700.1	83
TraesCS1A03G0016000.1	66
TraesCS1A03G0016200.1	10
TraesCS1A03G0016300.2	382
TraesCS1A03G0016400.1	49
TraesCS1A03G0016500.1	8
TraesCS1A03G0017600LC.1	4
TraesCS1A03G0018400.1	4
TraesCS1A03G0018900.1	4
TraesCS1A03G0020600.1	295
TraesCS1A03G0021100LC.1	103
TraesCS1A03G0021800LC.1	1
TraesCS1A03G0022100.1	24
TraesCS1A03G0023600.1	1
TraesCS1A03G0023800.1	37
TraesCS1A03G0024500.2	93
TraesCS1A03G0024600.1	17
TraesCS1A03G0024800.1	32
TraesCS1A03G0024900.1	14
TraesCS1A03G0025200.1	247
TraesCS1A03G0026100.1	6
TraesCS1A03G0026500LC.1	56
TraesCS1A03G0026600LC.1	2
TraesCS1A03G0026700LC.1	1
TraesCS1A03G0026800LC.1	8
TraesCS1A03G0027000LC.1	4
TraesCS1A03G0027200.1	237
TraesCS1A03G0027600.1	40
TraesCS1A03G0027700.1	25
TraesCS1A03G0027800.1	59
TraesCS1A03G0028900LC.1	3
TraesCS1A03G0031500.2	22
TraesCS1A03G0031900.1	1
TraesCS1A03G0033800.1	6
TraesCS1A03G0037000.1	31
TraesCS1A03G0037100.1	18
TraesCS1A03G0037300.1	5
TraesCS1A03G0037900.1	186
TraesCS1A03G0038100.1	6
TraesCS1A03G0039500.1	96
TraesCS1A03G0039600.1	8
TraesCS1A03G0042200.1	6
TraesCS1A03G0042600.1	15
TraesCS1A03G0043600.1	37
TraesCS1A03G0046100.1	16
TraesCS1A03G0046500.1	2
TraesCS1A03G0047100.1	2
TraesCS1A03G0047400.1	255
TraesCS1A03G0047500LC.1	2
TraesCS1A03G0047900LC.1	25
TraesCS1A03G0048600LC.1	3
TraesCS1A03G0050800.1	2
TraesCS1A03G0053200LC.1	10
TraesCS1A03G0053400.1	78
TraesCS1A03G0053800.1	41
TraesCS1A03G0053900.1	13
TraesCS1A03G0054100.1	17
TraesCS1A03G0054200.1	2
TraesCS1A03G0054400LC.1	1
TraesCS1A03G0054500LC.2	9
TraesCS1A03G0054700.1	159
TraesCS1A03G0054900.2	39
TraesCS1A03G0055000.1	40
TraesCS1A03G0055300LC.1	21
TraesCS1A03G0055400LC.1	144
TraesCS1A03G0056500.1	3
