TraesCS1A03G0104200.1	33
TraesCS1A03G0107600LC.1	37
TraesCS1A03G0108500.1	1
TraesCS1A03G0109700LC.1	2
TraesCS1A03G0109800LC.1	1
TraesCS1A03G0110200.1	2
TraesCS1A03G0110900.1	10
TraesCS1A03G0111400.1	130
TraesCS1A03G0111500.1	102
TraesCS1A03G0111700.1	94
TraesCS1A03G0112100LC.1	10
TraesCS1A03G0112200.1	1
TraesCS1A03G0112500.1	24
TraesCS1A03G0113200LC.1	2
TraesCS1A03G0114300.2	8
TraesCS1A03G0114700.1	88
TraesCS1A03G0115600.1	1
TraesCS1A03G0117000.1	1
TraesCS1A03G0118800.1	2
TraesCS1A03G0119600.2	79
TraesCS1A03G0120100.1	122
TraesCS1A03G0123700LC.1	2
TraesCS1A03G0127300.1	15
TraesCS1A03G0127500.1	101
TraesCS1A03G0127800.1	35
TraesCS1A03G0128500.1	1
TraesCS1A03G0128600.2	24
TraesCS1A03G0130600LC.1	2
TraesCS1A03G0135200.1	16
TraesCS1A03G0135500.2	2
TraesCS1A03G0135600.1	3
TraesCS1A03G0135800.1	239
TraesCS1A03G0136400LC.1	2
TraesCS1A03G0136600.1	3
TraesCS1A03G0136800LC.1	1
TraesCS1A03G0136900.1	3
TraesCS1A03G0137800.1	42
TraesCS1A03G0139400.1	4
TraesCS1A03G0139800.1	1
TraesCS1A03G0140800.1	1
TraesCS1A03G0141300.1	6
TraesCS1A03G0141400.1	176
TraesCS1A03G0142300.1	3
TraesCS1A03G0142800.1	142
TraesCS1A03G0143500.1	1
TraesCS1A03G0143700LC.1	3
TraesCS1A03G0143800.1	3
TraesCS1A03G0145100LC.1	28
TraesCS1A03G0145200LC.1	5
TraesCS1A03G0145300LC.1	51
TraesCS1A03G0146700.1	44
TraesCS1A03G0148500LC.2	5
TraesCS1A03G0148800.1	639
TraesCS1A03G0150700.1	70
TraesCS1A03G0151500.1	7
TraesCS1A03G0153500LC.1	2
TraesCS1A03G0153700.1	18
TraesCS1A03G0154200.1	6
TraesCS1A03G0155800.1	27
TraesCS1A03G0156300.1	31
TraesCS1A03G0159400LC.1	1
TraesCS1A03G0160100.2	4
TraesCS1A03G0160200LC.1	14
TraesCS1A03G0160300LC.1	5
TraesCS1A03G0160400LC.1	78
TraesCS1A03G0162200.1	1
TraesCS1A03G0163300.1	868
TraesCS1A03G0163700LC.1	16
TraesCS1A03G0164000.1	46
TraesCS1A03G0164500.1	31
TraesCS1A03G0164600.1	1
TraesCS1A03G0164800.1	48
TraesCS1A03G0165100.1	3
TraesCS1A03G0165500LC.1	2
TraesCS1A03G0165900.1	6
TraesCS1A03G0166000.1	4
TraesCS1A03G0166100.1	3
TraesCS1A03G0166300.2	10
TraesCS1A03G0166400.1	10
TraesCS1A03G0166500LC.1	6
TraesCS1A03G0166600.1	169
TraesCS1A03G0167200LC.1	92
TraesCS1A03G0167300.2	163
TraesCS1A03G0167500.1	9
TraesCS1A03G0167600.1	1
TraesCS1A03G0170000LC.1	16
TraesCS1A03G0170500.1	2
TraesCS1A03G0170700.1	85
TraesCS1A03G0170900.1	2
TraesCS1A03G0171300.1	8
TraesCS1A03G0171600.1	7
TraesCS1A03G0171900LC.1	5
TraesCS1A03G0172200.1	2
TraesCS1A03G0172300.1	1
TraesCS1A03G0172500.1	4
TraesCS1A03G0172700.1	2
TraesCS1A03G0173200.1	2
TraesCS1A03G0173600.3	2
TraesCS1A03G0174000.1	3
TraesCS1A03G0174600LC.1	2
TraesCS1A03G0174800.1	1
TraesCS1A03G0174900.1	24
TraesCS1A03G0175200.1	8
TraesCS1A03G0175400.1	4
TraesCS1A03G0177500.1	109
TraesCS1A03G0178400.2	49
TraesCS1A03G0178800.1	1
TraesCS1A03G0179100.1	8
TraesCS1A03G0179400.2	1
TraesCS1A03G0179500.1	9
TraesCS1A03G0181200.1	42
TraesCS1A03G0181300LC.1	1
TraesCS1A03G0181400LC.1	26
TraesCS1A03G0182500LC.1	2
TraesCS1A03G0182700LC.1	1
TraesCS1A03G0182800LC.1	2
TraesCS1A03G0183000.1	8
TraesCS1A03G0185000LC.1	8
TraesCS1A03G0185100.1	1
TraesCS1A03G0185500.2	94
TraesCS1A03G0185800.1	4
TraesCS1A03G0186000.1	16
TraesCS1A03G0186700.1	2
TraesCS1A03G0188300LC.1	1
TraesCS1A03G0188400LC.1	13
TraesCS1A03G0188800LC.1	1
TraesCS1A03G0189500LC.1	2
TraesCS1A03G0189700.1	56
TraesCS1A03G0189800.1	12
TraesCS1A03G0192700LC.1	4
TraesCS1A03G0192800.1	8
TraesCS1A03G0193000.1	49
TraesCS1A03G0193600.1	57
TraesCS1A03G0194600.1	3
TraesCS1A03G0195200.1	22
TraesCS1A03G0195800LC.1	2
TraesCS1A03G0197600.1	83
TraesCS1A03G0197700.1	23
TraesCS1A03G0199600LC.1	6
TraesCS1A03G0200400.1	51
TraesCS1A03G0200700.2	15
TraesCS1A03G0202800.1	20
TraesCS1A03G0202900LC.1	2
TraesCS1A03G0204400LC.1	1
TraesCS1A03G0204500LC.1	3
TraesCS1A03G0205000LC.1	4
TraesCS1A03G0205300.1	108
TraesCS1A03G0210400.1	1
TraesCS1A03G0210600.2	5
TraesCS1A03G0211100.1	18
TraesCS1A03G0211400LC.1	27
TraesCS1A03G0212000LC.1	2
TraesCS1A03G0212200.2	4
TraesCS1A03G0213200LC.1	2
TraesCS1A03G0213700.2	14
TraesCS1A03G0214200.1	10
TraesCS1A03G0215100.1	4
