"gene","sample","pval","adjpval","MAF","delta","rref","ralt"
"TraesCS2A03G0843400","CSxP2",0.58441,0.85385280268119,0.596524659331654,0.847996900142972,18,10
"TraesCS2A03G0847700","CSxP2",0.24662,0.534305528789294,0.6825768317699,1.4150374692227,8,3
"TraesCS2A03G0848200","CSxP2",0.782204,0.959934288947834,0.568313273396597,0.678071894292425,8,5
"TraesCS2A03G0865300","CSxP2",1,1,0.512604834183709,0.192645076654275,16,14
"TraesCS2A03G0641000","CSxP2",0.551433,0.834614313537118,0.56607384385162,-0.115477216495132,12,13
"TraesCS2A03G0641400","CSxP2",1,1,0.502871231504523,0.26303440102481,6,5
"TraesCS2A03G0871800","CSxP2",0.362332,0.669591944958984,0.653961076202192,1.22239239385654,7,3
"TraesCS2A03G0888500","CSxP2",0.167289,0.420097263843648,0.632819419144906,1.06413033057689,23,11
"TraesCS2A03G0893200","CSxP2",0.041433,0.158586715231788,0.581036719555034,-0.211504104934855,76,88
"TraesCS2A03G0897700","CSxP2",0.005349,0.0308223341645885,0.563322018852195,-0.0406419844846238,315,324
"TraesCS2A03G0897800","CSxP2",0,0,0.682736815583892,-0.828813349552889,143,254
"TraesCS2A03G0897900","CSxP2",0.052832,0.18829379125964,0.665604040319506,0,28,28
"TraesCS2A03G0900500","CSxP2",1,1,0.502871231504523,0.26303440102481,6,5
"TraesCS2A03G0903600","CSxP2",0.038097,0.147869729003359,0.585759218275222,0.76451192033687,141,83
"TraesCS2A03G0904300","CSxP2",0.528419,0.815524514234875,0.647438318510592,-0.584962488698698,4,6
"TraesCS2A03G0911800","CSxP2",0.076751,0.24958758189454,0.77802295862869,2.16992494533751,9,2
"TraesCS2A03G0912400","CSxP2",0.701006,0.924768373739296,0.52879004116351,0.428843297377033,35,26
"TraesCS2A03G0913800","CSxP2",0.907907,1,0.511734160135102,0.192645077427148,40,35
"TraesCS2A03G0915000","CSxP2",0.943955,1,0.553735696018384,0.561878885391993,31,21
"TraesCS2A03G0918400","CSxP2",1,1,0.50579881221167,0.299560279778098,16,13
"TraesCS2A03G0922400","CSxP2",0.13039,0.358960873709293,0.671028899170694,1.32192808046041,15,6
"TraesCS2A03G0922900","CSxP2",0.631834,0.877244391748448,0.58406936088813,0.765534740422468,17,10
"TraesCS2A03G0924500","CSxP2",0.487193,0.78833377124183,0.579111484457117,0.635235706109111,73,47
"TraesCS2A03G0934600","CSxP2",0.047888,0.175940761904762,0.794526651648897,2.32192803717956,10,2
"TraesCS2A03G0941300","CSxP2",0.840726,0.97964576096823,0.546848039717956,0,18,18
"TraesCS2A03G0941800","CSxP2",0.098938,0.299583482969432,0.603845172137523,-0.289506616903531,90,110
"TraesCS2A03G0943000","CSxP2",0.284919,0.580216952996475,0.669961748982546,1.32192807324694,10,4
"TraesCS2A03G0943600","CSxP2",0.02227,0.0992131362467867,0.74986995189794,-1.28010790706925,7,17
"TraesCS2A03G0943700","CSxP2",0.530001,0.816437096,0.541963044539686,0.253215344668325,205,172
"TraesCS2A03G0944000","CSxP2",0.538239,0.824000165194346,0.567948314799633,-0.125530880990908,11,12
"TraesCS2A03G0944200","CSxP2",0.840553,0.97960884263618,0.571364245970541,0.700439711205058,13,8
"TraesCS2A03G0944900","CSxP2",0.186132,0.450827052410901,0.634694245659109,1.07800250356446,19,9
"TraesCS2A03G0945200","CSxP2",0.311524,0.614187817974972,0.627102607355957,0.847996902280298,27,15
"TraesCS2A03G0945300","CSxP2",1,1,0.535578561624278,0.48542681892627,7,5
"TraesCS2A03G0645400","CSxP2",0.215083,0.489640511001642,0.609724702067727,0.214124804556878,29,25
"TraesCS2A03G0951700","CSxP2",0.195121,0.464325016134569,0.689942098632268,1.45943159568533,11,4
