gene_id	meth_CS	cov_CS	meth_CSxP	cov_CSxP	meth_P	cov_P	pct_CS	pct_CSxP	pct_P	subgenome	category.x	category.y
TraesCS1B03G0044800	178	434	158	364	236	552	41.0138248847926	43.4065934065934	42.7536231884058	B	conserved_mC	Conserved
TraesCS1B03G0045000	30	108	24	88	9	100	27.7777777777778	27.2727272727273	9	B	CS_dominant	Conserved
TraesCS1B03G0047700	93	646	158	699	144	889	14.3962848297214	22.6037195994278	16.1979752530934	B	overdominant	Conserved
TraesCS1B03G0048600	20	31	8	13	5	13	64.5161290322581	61.5384615384615	38.4615384615385	B	CS_dominant	Trans only
TraesCS1B03G0061900	219	324	166	229	106	157	67.5925925925926	72.4890829694323	67.515923566879	B	conserved_mC	Conserved
TraesCS1B03G0084700	25	258	18	130	8	85	9.68992248062015	13.8461538461538	9.41176470588235	B	conserved_mC	Trans only
TraesCS1B03G0094400	70	347	96	329	57	250	20.1729106628242	29.1793313069909	22.8	B	overdominant	Trans only
TraesCS1B03G0099700	44	295	33	198	47	274	14.9152542372881	16.6666666666667	17.1532846715329	B	conserved_mC	Conserved
TraesCS1B03G0107500	80	300	73	269	68	367	26.6666666666667	27.1375464684015	18.5286103542234	B	conserved_mC	Trans only
TraesCS1B03G0121200	71	373	73	349	115	457	19.0348525469169	20.9169054441261	25.164113785558	B	conserved_mC	Conserved
TraesCS1B03G0138400	114	231	79	170	81	252	49.3506493506494	46.4705882352941	32.1428571428572	B	CS_dominant	Conserved
TraesCS1B03G0138600	16	660	16	606	18	612	2.42424242424242	2.64026402640264	2.94117647058824	B	conserved_mC	Conserved
TraesCS1B03G0139900	3	171	1	81	5	75	1.75438596491228	1.23456790123457	6.66666666666667	B	conserved_mC	Conserved
TraesCS1B03G0142800	155	397	200	378	181	393	39.0428211586902	52.9100529100529	46.0559796437659	B	overdominant	Conserved
TraesCS1B03G0143700	100	238	88	168	67	171	42.0168067226891	52.3809523809524	39.1812865497076	B	overdominant	Conserved
TraesCS1B03G0213800	99	145	116	188	128	187	68.2758620689655	61.7021276595745	68.4491978609626	B	conserved_mC	Conserved
TraesCS1B03G0216300	58	475	223	757	419	1069	12.2105263157895	29.4583883751651	39.1955098222638	B	additive	Conserved
TraesCS1B03G0222300	0	221	5	143	2	183	0	3.4965034965035	1.09289617486339	B	conserved_mC	Conserved
TraesCS1B03G0229300	125	257	167	336	185	310	48.6381322957199	49.702380952381	59.6774193548387	B	CS_dominant	Conserved
TraesCS1B03G0252800	365	577	210	438	257	558	63.2582322357019	47.9452054794521	46.0573476702509	B	P_dominant	Conserved
TraesCS1B03G0260500	62	166	55	145	89	227	37.3493975903615	37.9310344827586	39.2070484581498	B	conserved_mC	Conserved
TraesCS1B03G0265800	14	694	15	706	20	992	2.01729106628242	2.12464589235127	2.01612903225806	B	conserved_mC	Conserved
TraesCS1B03G0274800	131	222	232	341	212	311	59.009009009009	68.0351906158358	68.1672025723473	B	conserved_mC	Conserved
TraesCS1B03G0278200	7	451	20	503	41	1033	1.55210643015521	3.97614314115308	3.96902226524685	B	conserved_mC	Conserved
TraesCS1B03G0291900	10	655	17	651	16	810	1.52671755725191	2.61136712749616	1.97530864197531	B	conserved_mC	Conserved
TraesCS1B03G0321200	88	549	116	623	128	748	16.0291438979964	18.6195826645265	17.1122994652406	B	conserved_mC	Conserved
TraesCS1B03G0326800	11	163	8	159	23	279	6.74846625766871	5.0314465408805	8.24372759856631	B	conserved_mC	Conserved
TraesCS1B03G0341500	65	410	80	383	99	546	15.8536585365854	20.88772845953	18.1318681318681	B	conserved_mC	Conserved
TraesCS1B03G0348200	15	392	12	459	23	439	3.8265306122449	2.61437908496732	5.23917995444191	B	conserved_mC	Conserved
TraesCS1B03G0348500	233	403	318	437	324	430	57.8163771712159	72.7688787185355	75.3488372093023	B	P_dominant	Conserved
TraesCS1B03G0356800	97	155	177	225	142	226	62.5806451612903	78.6666666666667	62.8318584070797	B	overdominant	Conserved
TraesCS1B03G0359400	45	357	32	365	42	458	12.6050420168067	8.76712328767123	9.17030567685589	B	conserved_mC	Conserved
TraesCS1B03G0359700	88	241	54	213	12	252	36.5145228215768	25.3521126760563	4.76190476190476	B	additive	Conserved
TraesCS1B03G0359800	2	26	3	18	2	19	7.69230769230769	16.6666666666667	10.5263157894737	B	overdominant	Conserved
TraesCS1B03G0374100	67	533	80	565	208	656	12.5703564727955	14.1592920353982	31.7073170731707	B	CS_dominant	Conserved
TraesCS1B03G0378100	11	350	10	425	10	616	3.14285714285714	2.35294117647059	1.62337662337662	B	conserved_mC	Conserved
TraesCS1B03G0432400	96	280	58	158	142	449	34.2857142857143	36.7088607594937	31.6258351893096	B	conserved_mC	Conserved
TraesCS1B03G0446700	52	103	52	80	49	69	50.4854368932039	65	71.0144927536232	B	additive	Conserved
TraesCS1B03G0484000	91	245	106	264	107	249	37.1428571428572	40.1515151515151	42.9718875502008	B	conserved_mC	Conserved
TraesCS1B03G0485500	111	307	168	354	140	472	36.1563517915309	47.4576271186441	29.6610169491525	B	overdominant	Conserved
TraesCS1B03G0485900	181	327	131	253	223	351	55.3516819571865	51.7786561264822	63.5327635327635	B	CS_dominant	Conserved
TraesCS1B03G0486400	9	250	4	256	7	253	3.6	1.5625	2.76679841897233	B	conserved_mC	Conserved
TraesCS1B03G0488700	3	211	1	191	5	263	1.4218009478673	0.523560209424084	1.90114068441065	B	conserved_mC	Conserved
TraesCS1B03G0494100	140	466	77	299	124	479	30.0429184549356	25.752508361204	25.8872651356994	B	conserved_mC	Conserved
TraesCS1B03G0494800	61	186	33	185	46	160	32.7956989247312	17.8378378378378	28.75	B	underdominant	Conserved
TraesCS1B03G0496900	258	461	290	482	253	415	55.9652928416486	60.1659751037344	60.9638554216868	B	conserved_mC	Conserved
TraesCS1B03G0497000	38	157	25	124	43	159	24.203821656051	20.1612903225806	27.0440251572327	B	conserved_mC	Conserved
TraesCS1B03G0499000	96	160	43	114	40	94	60	37.719298245614	42.5531914893617	B	P_dominant	Conserved
TraesCS1B03G0499300	31	50	30	34	45	58	62	88.2352941176471	77.5862068965517	B	P_dominant	Conserved
TraesCS1B03G0501900	138	334	101	252	55	174	41.3173652694611	40.0793650793651	31.6091954022989	B	conserved_mC	Cis only
TraesCS1B03G0502700	4	171	2	206	6	257	2.33918128654971	0.970873786407767	2.33463035019455	B	conserved_mC	Conserved
TraesCS1B03G0503200	90	363	72	311	116	387	24.7933884297521	23.1511254019293	29.9741602067184	B	conserved_mC	Conserved
