label	gene
seedling_specific	TraesCS1D03G0141800
seedling_specific	TraesCS1D03G0166000
seedling_specific	TraesCS1D03G0215900
seedling_specific	TraesCS1D03G0224900
seedling_specific	TraesCS1D03G0232400
seedling_specific	TraesCS1D03G0356300
seedling_specific	TraesCS1D03G0363700
seedling_specific	TraesCS1D03G0376300
seedling_specific	TraesCS1D03G0380000
seedling_specific	TraesCS1D03G0428400
seedling_specific	TraesCS1D03G0428600
seedling_specific	TraesCS1D03G0433300
seedling_specific	TraesCS1D03G0446700
seedling_specific	TraesCS1D03G0450200
seedling_specific	TraesCS1D03G0454200
seedling_specific	TraesCS1D03G0458200
seedling_specific	TraesCS1D03G0507700
seedling_specific	TraesCS1D03G0511100
seedling_specific	TraesCS1D03G0512000
seedling_specific	TraesCS1D03G0531500
seedling_specific	TraesCS1D03G0537400
seedling_specific	TraesCS1D03G0542400
seedling_specific	TraesCS1D03G0589600
seedling_specific	TraesCS1D03G0597100
seedling_specific	TraesCS1D03G0602700
seedling_specific	TraesCS1D03G0604400
seedling_specific	TraesCS1D03G0609200
seedling_specific	TraesCS1D03G0618500
seedling_specific	TraesCS1D03G0625800
seedling_specific	TraesCS1D03G0640900
seedling_specific	TraesCS1D03G0645800
seedling_specific	TraesCS1D03G0653000
seedling_specific	TraesCS1D03G0661100
seedling_specific	TraesCS1D03G0668200
seedling_specific	TraesCS1D03G0675300
seedling_specific	TraesCS1D03G0681100
seedling_specific	TraesCS1D03G0729600
seedling_specific	TraesCS1D03G0745500
seedling_specific	TraesCS1D03G0748400
seedling_specific	TraesCS1D03G0748600
seedling_specific	TraesCS1D03G0748700
seedling_specific	TraesCS1D03G0757800
seedling_specific	TraesCS1D03G0778500
seedling_specific	TraesCS1D03G0791100
seedling_specific	TraesCS1D03G0821700
seedling_specific	TraesCS1D03G0848400
seedling_specific	TraesCS1D03G0856700
seedling_specific	TraesCS1D03G0873500
seedling_specific	TraesCS1D03G0873600
seedling_specific	TraesCS1D03G0873700
seedling_specific	TraesCS1D03G0890100
seedling_specific	TraesCS1D03G0924000
seedling_specific	TraesCS1D03G0947400
seedling_specific	TraesCS1D03G0951000
seedling_specific	TraesCS1D03G0956600
seedling_specific	TraesCS1D03G0957400
seedling_specific	TraesCS1D03G0960400
seedling_specific	TraesCS1D03G0963600
seedling_specific	TraesCS1D03G0965700
seedling_specific	TraesCS1D03G1003100
seedling_specific	TraesCS1D03G1003400
seedling_specific	TraesCS1D03G1004000
seedling_specific	TraesCS1D03G1013100
seedling_specific	TraesCS1D03G1022300
seedling_specific	TraesCS2A03G0006600
