"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TraesCS1A03G0004000",0.0139668203122296,6.0910914006218,0.061340284192236,0.952169066788785,0.983091485813989,-7.23832240385211
"TraesCS1A03G0015700",-0.231031705490754,2.96056355775137,-0.687053989542362,0.5060247653193,0.78722072480575,-6.9282591446259
"TraesCS1A03G0016300",-0.551410593835948,5.43067084796698,-1.1712269085677,0.265820417373674,0.613861564445512,-6.44095651861331
"TraesCS1A03G0022200",6.03467164484767,1.06297189416301,6.92696888784191,2.27463911753265e-05,0.00172760245074826,2.64116866526612
"TraesCS1A03G0027700",7.39370548467989,-0.573429078250268,12.3493808834719,7.1959491124559e-08,3.45952296878392e-05,6.2763403877063
"TraesCS1A03G0031500",0.0628113248474227,3.54175079170748,0.349159413392697,0.733445242664384,0.90076461204198,-7.17398238684184
"TraesCS1A03G0031600",-2.70710971249065,0.454332905364491,-1.48875765417997,0.164157062139742,0.501290288277455,-4.84549095285908
"TraesCS1A03G0033900",2.01958809805924,6.67535322791413,8.91671813715774,2.0149205816321e-06,0.000306068923906189,5.38386574550274
"TraesCS1A03G0037000",0.763117090828034,3.26885408601226,4.84198991350504,0.000491270010064064,0.015639291601108,-0.320473041051561
"TraesCS1A03G0037100",0.306407981837491,4.49242007389354,1.48260349931503,0.1657598908577,0.503769222456005,-6.22641129342229
"TraesCS1A03G0037300",0.556646248027,0.530772087041561,0.942430993510112,0.365854989137654,0.696577364196498,-6.20038238439509
"TraesCS1A03G0037900",1.95693717195512,4.06002047821514,5.64543026244619,0.000139996950510123,0.00620424069278653,0.867856610503951
"TraesCS1A03G0039500",1.31389917173037,2.25584040047729,5.0902431560733,0.00033008623968051,0.0119628309073019,0.248252217443751
"TraesCS1A03G0043500",-0.188119154977485,2.78332448200962,-0.858657908569828,0.408528752852654,0.726366589405894,-6.69043355611343
"TraesCS1A03G0044000",-0.153857468735288,2.8982272958357,-0.767192861531815,0.458833268277837,0.758614464916942,-6.80838489205484
"TraesCS1A03G0046300",0.455167781182067,6.20274231125275,1.77034063423682,0.103848880483703,0.407838054730764,-5.70564828400341
"TraesCS1A03G0046500",-0.0151283074139346,2.07797471861391,-0.0680120516271735,0.946974965526006,0.981003594548601,-7.04084366022323
