gene_id	n_TEs	n_sites	pct_CS	cov_CS	pct_CSxP	cov_CSxP	pct_P	cov_P
TraesCS4B03G0384600	12	320	96.2516272081	4642	96.1837040965934	4638	95.9710772538392	5535
TraesCS4B03G0385400	3	118	30.8530556181887	2661	35.2272571834416	2464	31.3618394669587	2739
TraesCS4B03G0385500	3	11	96.5517114942529	174	95.2789708154506	233	90.1886890566038	265
TraesCS4B03G0387400	7	69	90.8117721855486	1121	91.885446141607	1257	91.2062028015564	1285
TraesCS4B03G0387500	2	120	81.3672032667877	1653	83.6757240421988	1801	82.0255381843066	2192
TraesCS4B03G0387800	11	362	97.3043278789312	4229	96.0879936208046	4499	96.8345391399562	5023
TraesCS4B03G0389300	5	18	87.9356581769437	373	94.3924919003115	321	95.2112473239436	355
TraesCS4B03G0390700	11	591	94.1826871817776	8956	94.2562498697069	9210	94.6615323526782	11183
TraesCS4B03G0392100	11	207	96.6969364428312	2755	96.9514515619119	2657	95.7440329148806	3266
TraesCS4B03G0395800	1	1	77.2727	22	70.8333	24	97.0588	34
TraesCS4B03G0395900	12	128	90.4791553204729	1607	91.5099299949161	1967	93.6856367218988	2233
TraesCS4B03G0397300	7	88	94.4869101528384	1832	81.1161404931863	1541	71.8643934140436	2065
TraesCS4B03G0397900	2	2	94.1176529411765	34	91.4893425531915	47	98.1818036363637	55
TraesCS4B03G0398100	1	104	95.8697	1259	96.6887	1208	96.1358	1708
TraesCS4B03G0398400	3	29	92.0679957507082	353	89.6773916129032	310	89.6226443396227	318
TraesCS4B03G0399300	3	7	96.2963148148148	162	96.7741682795699	186	95.4887278195489	133
TraesCS4B03G0399800	1	21	94.1349	341	94.0559	286	94.8882	313
TraesCS4B03G0400500	6	244	92.9155023501363	2936	91.9446372655758	3178	88.1820613912594	3867
TraesCS4B03G0400800	1	80	97.1082	1072	96.5004	1343	96.4809	1364
TraesCS4B03G0401800	3	36	85.3932988764045	712	78.246724512987	616	79.9999838554217	830
TraesCS4B03G0401900	8	464	94.5217609829135	5677	96.1398630484988	6062	96.9644711552295	6951
TraesCS4B03G0402100	6	18	89.2045338068182	352	92.4290280757098	317	94.0476161904762	420
TraesCS4B03G0402400	1	5	89.8305	118	99.1803	122	97.0588	170
TraesCS4B03G0403000	1	128	95.7193	1425	94.9525	1367	96.0806	1837
TraesCS4B03G0403600	2	8	66.4122007633588	131	75.9398639097744	133	68.888912962963	270
TraesCS4B03G0403700	1	12	95.9391	197	94.1799	189	91.3907	302
TraesCS4B03G0403900	1	7	100	76	95.4545	132	94.4444	126
TraesCS4B03G0404100	1	2	100	20	96.2264	53	100	44
TraesCS4B03G0404200	8	80	89.1389491193738	1022	90.2792354705274	967	90.6390556255626	1111
TraesCS4B03G0404700	2	6	76.1904678571429	84	73.1958917525773	97	74.0113084745763	177
TraesCS4B03G0404800	5	14	87.5457772893773	273	87.1527892361111	288	80.4232917989418	378
TraesCS4B03G0405400	3	380	94.6789248012232	3270	83.9582354854731	4027	75.6725395974453	5167
TraesCS4B03G0405900	3	11	87.0689482758621	232	86.5942108695652	276	91.0614578212291	358
TraesCS4B03G0407800	16	1162	89.3928052246864	12039	88.2959407813799	12030	89.9012538451736	15695
TraesCS4B03G0408600	12	125	86.3411350318471	1413	88.0352503778338	1588	90.4169204602057	1847
TraesCS4B03G0408900	3	8	76.8041149484536	194	76.4150570754717	212	85.2173443478261	230
TraesCS4B03G0409000	4	13	90.6716276119403	268	90.5737774590164	244	84.6796841225627	359
TraesCS4B03G0409300	3	131	75.9796849056604	1378	75.9596026262626	1485	53.5586289810548	1953
TraesCS4B03G0411300	2	134	94.7250621773288	1782	95.5752234513274	1808	94.1602092664093	2072
TraesCS4B03G0412700	1	28	95.9322	295	95.0515	485	94.9296	710
TraesCS4B03G0412800	1	47	97.4545	275	96.6611	599	97.306	928
TraesCS4B03G0412900	1	4	67.7778	90	83.5443	79	80	100
TraesCS4B03G0413200	1	4	95.9184	98	73.3333	75	97.1831	71
TraesCS4B03G0414800	4	76	92.2507092991914	1484	94.4703353764157	1501	91.0358235059761	1506
TraesCS4B03G0415200	14	427	96.7264958394931	4735	96.4242581558859	4978	95.9452339301387	5697
TraesCS4B03G0416300	7	121	93.4032028976572	1622	95.5678640443213	1805	96.6636118628359	2158
TraesCS4B03G0416600	2	8	92.77775	180	94.4099130434783	161	93.1216634920635	189
TraesCS4B03G0417400	7	226	87.3403036391793	2583	85.9454126053253	2967	81.2706374586367	3022
TraesCS4B03G0417700	1	2	87.1795	39	65.9091	44	86.9565	69
TraesCS4B03G0418800	4	50	95.9128269754768	734	97.0588390025576	782	96.0199053731343	1005
TraesCS4B03G0419100	5	18	63.6054527551021	294	68.9922524754522	387	60.1769916814159	452
TraesCS4B03G0420900	9	127	93.0745260125918	1906	92.5734196891192	1737	91.7386415442765	1852
TraesCS4B03G0421300	2	17	93.9716092198582	282	93.7172863874346	191	95.7095788778878	303
TraesCS4B03G0421800	2	163	38.9582925	1920	44.4792909994767	1911	41.4704629505046	2081
TraesCS4B03G0422000	2	27	96.1187091324201	438	95.531562403698	649	93.7575351740696	833
TraesCS4B03G0422100	6	58	87.2826285869565	920	84.5417441860465	731	81.1688393320965	1078
TraesCS4B03G0422400	3	63	93.0188749056604	530	92.4778492625369	678	91.279075	860
TraesCS4B03G0422800	8	744	93.2002875284677	9221	88.0150210136087	10655	84.5336335719451	13830
TraesCS4B03G0424600	1	122	83.4254	2172	83.6511	2465	81.1297	2337
TraesCS4B03G0426100	1	303	93.4308	4171	94.4076	4524	92.9021	4452
TraesCS4B03G0427300	2	4	39.7059044117647	68	56.5217550724638	69	68.9655206896552	87
TraesCS4B03G0428000	1	16	97.4265	272	98.7552	241	94.6237	279
TraesCS4B03G0428200	1	1	94.7368	19	96.1538	26	93.1034	29
TraesCS4B03G0428600	1	6	74.6479	71	70.297	101	77.4194	124
TraesCS4B03G0428900	7	105	95.1821957998765	1619	96.2350288648032	1753	95.9194613166486	1838
TraesCS4B03G0429500	4	43	93.2676719211823	609	90.2752196330275	545	90.0302311178248	662
TraesCS4B03G0430100	3	12	89.3400852791878	197	87.1900818181818	242	81.7857032142857	280
TraesCS4B03G0431200	1	76	94.9875	798	95.6116	1071	95.4428	1163
TraesCS4B03G0431700	3	14	74.6153769230769	260	72.6530644897959	245	70.22224	225
TraesCS4B03G0432600	2	29	96.9411976470588	425	94.8052285714286	462	95.8495695201037	771
TraesCS4B03G0433700	10	323	95.0511974971559	3516	95.574002387339	3728	95.8925323712256	4504
TraesCS4B03G0433800	2	63	92.7177067567568	1332	94.612074137931	1392	94.7640259587021	1356
TraesCS4B03G0433900	7	160	94.1832940070505	1702	92.2820476401999	1801	93.9942533841754	2098
TraesCS4B03G0434100	2	6	86.8421403508772	114	89.7436025641026	117	89.0625140625	128
TraesCS4B03G0434300	4	48	97.8087474103586	502	96.2226642147117	503	96.5023842607313	629
TraesCS4B03G0434400	15	1010	96.2778726925469	11257	96.5429425395629	10616	96.7977019046896	13178
TraesCS4B03G0435800	5	82	95.573194892168	881	96.8973952267303	838	96.0819327693678	1123
TraesCS4B03G0437700	2	11	85.8823894117647	170	87.9397085427136	199	88.1040970260223	269
TraesCS4B03G0438500	18	911	85.6974801668806	9348	85.821541072288	10389	83.0217355987873	11874
TraesCS4B03G0439100	3	24	76.3934291803279	305	92.7576194986073	359	94.117621882353	425
TraesCS4B03G0439800	4	119	95.2653310204082	1225	93.5406366028708	836	92.7232610804851	907
TraesCS4B03G0440000	6	60	77.6543192592593	810	78.8853034297964	933	85.5172177931035	725
TraesCS4B03G0440300	7	223	94.5320390479254	3109	94.0574380558835	2541	94.207235264258	3349
TraesCS4B03G0442200	3	44	91.2621244660194	515	91.9382855917667	583	90.2755098865478	617
TraesCS4B03G0444500	11	337	95.9265427997705	5229	95.8673022113467	5517	96.2822249669531	6052
TraesCS4B03G0445400	8	214	73.3046743301356	3023	82.4077535967201	2683	96.0627410744078	2997
TraesCS4B03G0445600	2	156	94.573641003672	2451	95.1940275573192	2268	94.7787952570745	2509
TraesCS4B03G0445800	4	109	87.390006568915	1705	90.7319508688784	1899	86.93575625	2304
TraesCS4B03G0446500	3	7	85.5769057692308	104	83.3333201754386	114	86.5979391752577	97
TraesCS4B03G0447200	1	148	95.0524	1718	93.9597	1937	93.5956	2186
TraesCS4B03G0447500	11	67	96.1825056797021	1074	94.3950101423488	1124	95.7903714776632	1164
TraesCS4B03G0448200	1	261	89.3582	3054	91.1676	2989	95.3654	3517
TraesCS4B03G0448800	6	930	95.8255903137463	7522	96.1447103056769	8015	96.0345942100823	9482
TraesCS4B03G0449000	1	7	81.7204	93	88.9831	118	78.4314	153
TraesCS4B03G0449300	2	169	94.9740340987868	2308	86.2440796895213	2319	72.9822752498079	2602
TraesCS4B03G0450800	2	89	95.845885876133	1324	93.1568996350365	1096	93.837318678526	1574
TraesCS4B03G0452600	2	8	55.6603636792453	212	55.1912448087432	183	62.0689333333333	261
TraesCS4B03G0454300	3	56	93.5725071748879	669	92.5851621242485	499	95.3690607814761	691
TraesCS4B03G0454700	2	262	94.4049326220958	2109	95.2884543871629	2929	94.181522821827	3317
TraesCS4B03G0456000	2	8	92.3611333333333	144	88.888874691358	162	93.33332	225
TraesCS4B03G0456400	1	330	95.4861	4896	95.2262	5195	95.2711	5773
TraesCS4B03G0456700	1	336	94.5055	5096	95.2209	5252	95.4365	5807
TraesCS4B03G0457400	6	37	81.6793733129771	655	81.9905224328594	633	87.0574144078144	819
TraesCS4B03G0457600	6	46	96.9120950118765	842	95.6264903073286	846	95.6803548596112	926
TraesCS4B03G0458300	3	35	94.1828545706371	361	94.9838467637541	618	95.4887372180451	532
TraesCS4B03G0459300	12	724	95.7406030111955	7771	95.4669328484219	7699	95.9362792712709	10237
TraesCS4B03G0460200	1	314	53.5675	5494	75.3849	5066	94.4587	5053
TraesCS4B03G0460700	1	199	96.9015	2001	97.391	2568	97.3956	2419
TraesCS4B03G0460900	1	19	85.4127	521	88.3186	565	90.4538	639
TraesCS4B03G0462000	8	1141	95.1566294538152	12450	96.1201556468961	13016	96.7282966830467	15466
TraesCS4B03G0462300	5	55	93.4086649717514	1062	94.2375932624114	1128	94.8203484544695	1197
TraesCS4B03G0462800	3	6	83.3333436507937	126	94.4827675862069	145	94.499964	200
TraesCS4B03G0463300	3	82	93.5096606009616	1664	94.7311099130907	1841	93.8687194791102	1843
TraesCS4B03G0463500	14	383	95.8324561017312	4679	95.9984940163023	5398	96.2986286735504	6295
TraesCS4B03G0464600	2	202	97.6444425777778	2250	97.157502605606	2533	97.8893477438137	2748
TraesCS4B03G0465500	2	6	54.1984893129771	131	67.7165566929134	127	69.4444259259259	108
TraesCS4B03G0465700	3	10	77.777746031746	189	79.9999825641026	195	76.3888819444445	216
TraesCS4B03G0466400	1	1	100	20	100	16	96.6667	30
TraesCS4B03G0467400	3	12	87.3563304597701	174	90.3954655367232	177	81.5573606557377	244
TraesCS4B03G0467800	6	79	97.0865407883462	1167	97.5229279816514	1090	96.1452742031134	1349
TraesCS4B03G0468700	4	242	91.7842068879668	2410	91.3097464449064	2405	92.7079251007695	2729
TraesCS4B03G0468900	3	105	86.7488519260401	649	92.2572480314961	762	87.4871117890383	967
TraesCS4B03G0469400	3	82	94.9163479598662	1495	94.5383377113134	1538	94.1704171684817	1561
TraesCS4B03G0469500	3	8	70.9677258064516	155	64.7887225352113	142	60.4277802139038	187
TraesCS4B03G0470100	4	25	96.4285841517857	448	97.0149246268657	536	97.847684602649	604
TraesCS4B03G0471100	1	8	70.3704	108	80.7947	151	89.5349	86
TraesCS4B03G0471600	13	323	86.8812893464681	4162	84.8791354218056	4054	84.191818729031	5067
TraesCS4B03G0472700	1	3	91.25	80	92.9412	85	85.3211	109
TraesCS4B03G0474000	3	36	90.7172911392405	474	91.7491757425743	606	89.8608650099404	503
TraesCS4B03G0474100	10	345	92.8310908396947	3013	93.3356118591935	2926	93.3856793441704	3568
TraesCS4B03G0474500	6	389	88.3917935159638	5074	87.0301488802337	5135	88.8100207234618	5916
TraesCS4B03G0474700	1	138	91.7421	884	83.5031	982	81.8634	1610
TraesCS4B03G0475200	2	4	78.3784	37	95.1613064516129	62	88.2352941176471	51
TraesCS4B03G0475800	2	17	34.985412244898	343	20.7594962025316	395	27.5252622474748	396
TraesCS4B03G0475900	6	174	93.5226588938714	2007	93.514831980198	2020	91.4710590375587	2556
TraesCS4B03G0476100	3	32	94.2529114942529	261	95.753683014862	471	95.9183424489796	490
TraesCS4B03G0476300	1	324	94.5622	5094	94.9112	5011	95.6663	5538
TraesCS4B03G0476400	3	25	84.076398089172	628	89.1265828877005	561	95.5331332853026	694
TraesCS4B03G0477200	2	103	95.09256	1080	94.4036809174312	1090	95.6795792079208	1111
TraesCS4B03G0477300	1	261	95.5789	2669	95.1826	2574	95.5233	3172
TraesCS4B03G0477400	2	77	94.3579992217899	514	94.612812962963	594	94.9704544378698	676
TraesCS4B03G0477900	1	91	94.891	1468	93.5588	1242	94.7566	1602
TraesCS4B03G0478100	5	47	94.6107678143713	668	95.397988681592	804	97.0326633036598	1011
TraesCS4B03G0478600	3	153	95.7114081688223	1469	94.1733962059621	1476	93.5983838948787	1484
TraesCS4B03G0478900	2	51	95.2029343173432	542	95.4116533063428	741	96.6170879566982	739
TraesCS4B03G0479000	2	3	62.500005	40	76.1904666666667	42	76.7857410714286	56
TraesCS4B03G0479200	3	84	90.0730058248175	685	89.1458814946619	562	87.4866426951872	935
TraesCS4B03G0479700	3	16	94.9275094202899	276	95.9707164835165	273	97.6284822134387	253
TraesCS4B03G0479900	1	1	100	27	100	17	88.8889	27
TraesCS4B03G0480000	6	16	69.3251553374233	326	73.0366395287958	382	68.4834047393365	422
TraesCS4B03G0480300	1	5	100	66	100	38	100	31
TraesCS4B03G0481100	2	13	81.1881049504951	202	82.5327720524017	229	67.7165354330709	254
TraesCS4B03G0481200	4	71	80.9777987555556	1125	87.7807381850854	1113	91.4653884863124	1242
TraesCS4B03G0481300	1	5	68.8889	45	72.7273	44	75.2941	85
TraesCS4B03G0481800	1	32	87.5	352	89.8026	304	89.7638	635
TraesCS4B03G0481900	3	36	95.3947513157895	456	93.5672376218323	513	91.1255376623377	462
TraesCS4B03G0482100	1	24	95.1872	374	96.2594	401	95.9302	344
TraesCS4B03G0482200	3	23	86.2661375536481	466	92.9095136919315	409	88.0108621253406	367
TraesCS4B03G0482400	5	139	94.2777615555556	1800	93.1326508466604	2126	91.9634380821918	2190
TraesCS4B03G0482700	2	8	75.1243940298508	201	71.2918263157895	209	72.4264448529412	272
TraesCS4B03G0482800	1	5	96.1165	103	90	90	89.1892	111
TraesCS4B03G0483600	1	7	95.1456	103	88.6364	88	96.9072	97
TraesCS4B03G0484300	3	26	96.5035055944056	286	96.2962769230769	351	95.5555674747475	495
TraesCS4B03G0484500	10	228	94.2158472505092	2455	93.1591228285934	2602	94.0392608724609	3003
TraesCS4B03G0484600	4	102	93.6078295021512	1627	93.839533739255	1396	95.086848337469	2015
TraesCS4B03G0484900	5	11	64.921490052356	191	59.7014781094527	201	61.3953139534884	215
TraesCS4B03G0485600	3	12	71.5328321167883	137	72.3926319018405	163	78.2426719665272	239
TraesCS4B03G0485700	4	40	46.6049300925926	648	51.7080905590062	644	46.3414511681643	779
TraesCS4B03G0485800	1	5	75	88	87.6033	121	85.8491	106
TraesCS4B03G0485900	2	7	68.253980952381	126	67.4418341085271	129	82.0312734375	128
TraesCS4B03G0486000	1	32	97.0213	470	96.9314	554	95.9847	523
TraesCS4B03G0486100	6	129	92.4482824915825	2079	90.5200460193281	2173	87.4492050365557	2462
TraesCS4B03G0486400	2	200	94.0641872666348	2089	94.150939245283	2120	94.2613684931507	2701
TraesCS4B03G0486500	1	2	41.6667	24	54.5455	44	34.6154	52
TraesCS4B03G0486900	5	11	66.9767711627907	215	69.3277575630252	238	67.1052572368421	304
TraesCS4B03G0487800	5	122	95.85935984375	1280	96.6401447391689	1131	96.2126336212624	1505
TraesCS4B03G0488300	2	123	97.6690325757576	1716	96.1225334584115	1599	97.07553509342	2462
TraesCS4B03G0489100	4	10	47.0930011627907	172	65.3631446927374	179	62.9629619047619	189
TraesCS4B03G0489300	4	44	93.9004844301766	623	95.1334709576138	637	92.4657532876712	730
TraesCS4B03G0489500	5	34	89.8366511796733	551	89.0740601851852	540	87.3134459701493	670
TraesCS4B03G0490200	2	4	83.0188830188679	53	94.7368421052632	57	81.66665	60
TraesCS4B03G0492000	1	2	26.3158	57	47.619	63	84.7222	72
TraesCS4B03G0492700	2	5	85.5999936	125	95.5555177777778	90	88.9705867647059	136
TraesCS4B03G0493200	4	31	85.8237704980843	261	88.926183557047	298	89.8916880866426	277
TraesCS4B03G0493600	3	126	95.9422482806052	1454	96.2623098360656	1525	96.3861660194175	1854
TraesCS4B03G0493800	1	5	53.4483	58	77.9661	59	72.7273	77
TraesCS4B03G0494200	4	202	94.7117277634961	2723	93.8936957974138	2784	94.2339618121911	3035
TraesCS4B03G0494500	1	2	40.9091	44	26.3158	57	2.89855	69
TraesCS4B03G0494700	2	121	96.100282172702	1077	95.9731508948546	894	97.288179661017	1180
TraesCS4B03G0494800	1	140	95.082	1525	94.4764	1738	94.8974	1901
TraesCS4B03G0495200	2	45	76.0975487804878	1025	77.9441185628743	1002	74.2589565522621	1282
