gene_id	meth_CS	cov_CS	meth_CSxP	cov_CSxP	meth_P	cov_P	pct_CS	pct_CSxP	pct_P	subgenome	category.x	category.y
TraesCS1B03G0729700	25	1542	30	1385	34	1622	1.62127107652399	2.16606498194946	2.09617755856967	B	conserved_mC	Conserved
TraesCS1B03G0731200	29	1540	28	1636	36	1899	1.88311688311688	1.71149144254279	1.8957345971564	B	conserved_mC	Conserved
TraesCS1B03G0731800	7	491	13	524	18	561	1.42566191446029	2.48091603053435	3.20855614973262	B	conserved_mC	Conserved
TraesCS1B03G0733000	0	137	5	143	3	128	0	3.4965034965035	2.34375	B	conserved_mC	Conserved
TraesCS1B03G0734300	4	429	7	447	15	496	0.932400932400932	1.56599552572707	3.0241935483871	B	conserved_mC	Conserved
TraesCS1B03G0734800	20	1012	13	978	19	1088	1.97628458498024	1.32924335378323	1.74632352941176	B	conserved_mC	Conserved
TraesCS1B03G0735900	51	2780	53	3166	67	3254	1.83453237410072	1.67403663929248	2.05900430239705	B	conserved_mC	Conserved
TraesCS1B03G0737500	12	705	8	665	24	950	1.70212765957447	1.20300751879699	2.52631578947368	B	conserved_mC	Conserved
TraesCS1B03G0738800	52	2268	47	2281	58	2821	2.29276895943563	2.0604997807979	2.05600850762141	B	conserved_mC	Conserved
TraesCS1B03G0741600	15	661	17	559	8	669	2.26928895612708	3.04114490161002	1.19581464872945	B	conserved_mC	Conserved
TraesCS1B03G0741900	11	418	11	463	6	398	2.63157894736842	2.37580993520518	1.50753768844221	B	conserved_mC	Conserved
TraesCS1B03G0745900	27	1896	30	1684	39	1861	1.42405063291139	1.78147268408551	2.09564750134336	B	conserved_mC	Conserved
TraesCS1B03G0746000	7	436	17	442	29	515	1.60550458715596	3.84615384615385	5.63106796116505	B	conserved_mC	Conserved
TraesCS1B03G0749800	16	1089	25	1122	22	1119	1.4692378328742	2.22816399286988	1.96604110813226	B	conserved_mC	Conserved
TraesCS1B03G0750000	12	770	15	873	18	915	1.55844155844156	1.71821305841924	1.9672131147541	B	conserved_mC	Conserved
TraesCS1B03G0750300	11	717	16	740	16	839	1.53417015341702	2.16216216216216	1.90703218116806	B	conserved_mC	Conserved
TraesCS1B03G0754300	21	1189	32	1302	35	1563	1.76619007569386	2.45775729646697	2.23928342930262	B	conserved_mC	Conserved
TraesCS1B03G0756000	15	702	17	758	19	768	2.13675213675214	2.24274406332454	2.47395833333333	B	conserved_mC	Conserved
TraesCS1B03G0756200	16	710	13	764	12	841	2.25352112676056	1.70157068062827	1.4268727705113	B	conserved_mC	Conserved
