"gene","sample","pval","adjpval","MAF","delta","rref","ralt"
"TraesCS5B03G0599200","CSxP1",0.543387,0.836653145454545,0.505476618344471,0.0316591553264131,1935,1893
"TraesCS5B03G0600700","CSxP1",0.037883,0.140757409984871,0.617757403884449,0.691877703228442,63,39
"TraesCS5B03G0600900","CSxP1",0.084492,0.259282405664307,0.661362322313688,-0.954196306023886,16,31
"TraesCS5B03G0601900","CSxP1",0.006098,0.0311797807078418,0.542912246865959,0.248247863133856,563,474
"TraesCS5B03G0530200","CSxP1",0.524645,0.822114921310081,0.590909090909091,0.530514711766489,13,9
"TraesCS5B03G0607300","CSxP1",0.285908,0.586893011699164,0.636363636363636,0.807354914328881,14,8
"TraesCS5B03G0608100","CSxP1",0.636982,0.894469863922241,0.560440137782139,-0.270089162643292,34,41
"TraesCS5B03G0608900","CSxP1",0.092008,0.275699169566977,0.59675860426854,0.263034405299462,54,45
"TraesCS5B03G0609200","CSxP1",0.000505,0.00338258181818182,0.846153846153846,2.45943158912763,22,4
"TraesCS5B03G0611200","CSxP1",0.754599,0.966554039979141,0.6,-0.584962488698698,4,6
"TraesCS5B03G0611500","CSxP1",0.092886,0.276407127625202,0.769230769230769,1.73696556050332,10,3
"TraesCS5B03G0612000","CSxP1",1,1,0.5,0,22,22
"TraesCS5B03G0613000","CSxP1",0.337164,0.643748212490282,0.58974358974359,0.523561953312756,23,16
"TraesCS5B03G0613100","CSxP1",0.84543,0.999317054049719,0.566801531026476,0.387023120498035,17,13
"TraesCS5B03G0616000","CSxP1",0.793514,0.976714191780822,0.567356937871057,0.156119201494514,39,35
"TraesCS5B03G0616800","CSxP1",0.628891,0.889662701418168,0.588235294117647,-0.514573166646779,7,10
"TraesCS5B03G0620900","CSxP1",0.210129,0.482091095813953,0.6875,1.13750350801144,11,5
"TraesCS5B03G0621000","CSxP1",0.412628,0.722319578047042,0.625402437976293,0.736965587754228,15,9
"TraesCS5B03G0625900","CSxP1",0.557333,0.84223778716424,0.576923076923077,0.447458973473779,15,11
"TraesCS5B03G0627800","CSxP1",0.6359,0.893762004576659,0.550000000000001,0.289506615737717,22,18
"TraesCS5B03G0631200","CSxP1",0.719405,0.956304723074148,0.531504583864864,0.181997833599202,135,119
"TraesCS5B03G0632300","CSxP1",0.390449,0.696906063953488,0.537863641516578,0.218894976985476,206,177
"TraesCS5B03G0633600","CSxP1",0.424837,0.732690956236836,0.6,0.584962495912173,15,10
"TraesCS5B03G0638400","CSxP1",0.103545,0.299889764150943,0.54188916075716,-0.0684553021809949,391,410
"TraesCS5B03G0639400","CSxP1",0.0758,0.24021264516129,0.614441581834149,0.490325625593339,59,42
"TraesCS5B03G0639600","CSxP1",0.000632,0.00414286120996441,0.703699042230082,-1.2479275099634,24,57
"TraesCS5B03G0646100","CSxP1",0.581637,0.85646633046953,0.615384615384615,0.678071894292425,8,5
"TraesCS5B03G0646900","CSxP1",1,1,0.538461538461539,0.22239241790146,7,6
"TraesCS5B03G0648200","CSxP1",0.663841,0.919030500844119,0.571428571428572,-0.415037495271358,9,12
"TraesCS5B03G0656000","CSxP1",0.864129,1,0.529411764705883,0.169925000440441,18,16
"TraesCS5B03G0656100","CSxP1",0.757195,0.966922943500867,0.551047220786741,-0.29698173699025,35,43
"TraesCS5B03G0534000","CSxP1",0.81399,0.985955978328682,0.555555555555555,-0.321928091280625,8,10
"TraesCS5B03G0662600","CSxP1",0.102448,0.297414052009456,0.704130071792788,1.24792750300303,19,8
"TraesCS5B03G0664600","CSxP1",0.134598,0.356989943844492,0.597696645533756,-0.571156699848553,35,52
"TraesCS5B03G0665700","CSxP1",0,0,0.641847826086956,-0.841658594292343,659,1181
"TraesCS5B03G0668000","CSxP1",0.612802,0.87866016579101,0.578472111607444,0.0641303372771567,46,44
"TraesCS5B03G0668100","CSxP1",0.911838,1,0.518299889869852,-0.10561018791763,237,255
"TraesCS5B03G0669400","CSxP1",0.572272,0.855100404786047,0.571428571428572,-0.415037496273229,12,16
"TraesCS5D03G0230100","CSxP1",0.936807,1,0.506249999999999,0.0360692546624304,81,79
"TraesCS5D03G0234500","CSxP1",0.332218,0.639454022425033,0.647058823529412,0.874469106986633,11,6
"TraesCS5D03G0042500","CSxP1",0.664042,0.919030500844119,0.571428571428572,0.415037495271358,12,9
"TraesCS5D03G0043100","CSxP1",1,1,0.523809523809524,-0.137503522438394,10,11
"TraesCS5D03G0049400","CSxP1",0.540166,0.836467176865046,0.583333333333333,0.485426823048256,14,10
"TraesCS5D03G0282500","CSxP1",0.390752,0.697109137046005,0.588235294117647,0.514573169738269,20,14
"TraesCS5D03G0286200","CSxP1",0.682312,0.929427771491958,0.506958250497016,0.0401571264639982,510,496
"TraesCS5D03G0286700","CSxP1",0.580517,0.85646633046953,0.615384615384615,0.678071894292425,8,5
"TraesCS5D03G0306400","CSxP1",0.02436,0.0983476602739726,0.705882352941176,1.26303439741807,24,10
"TraesCS5D03G0317800","CSxP1",0.746147,0.966554039979141,0.523255813953488,-0.134301091398812,41,45
"TraesCS5D03G0332600","CSxP1",1,1,0.5,0,25,25
