"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TraesCS3A03G0692600",-0.298794094632965,7.14923919092413,-0.942290491267096,0.35204059232003,0.61474985363868,-6.24881318223899
"TraesCS2A03G0427800",-0.387914993212745,7.21196212055434,-1.30228037976006,0.200717064447152,0.468339817043354,-5.94765610210791
"TraesCS2A03G0956100",-0.481055454113551,5.89478096925645,-1.08419346094761,0.285160926252494,0.56301003388313,-5.82586648838616
"TraesCS4A03G0060100",-0.10689763364072,8.9584029721952,-0.700015156699499,0.48821330034334,0.728786093344605,-7.19922950991833
"TraesCS2A03G0339500",-1.34653353027887,6.11725894070429,-3.04589967077223,0.00421794592318714,0.0318413564789617,-2.24335301073442
"TraesCS2A03G0729700",5.19580110530346,5.37417325470851,8.08348271636747,9.35097947077037e-10,3.78960746973325e-08,11.5737631127018
"TraesCS3A03G0878500",0.64503282963278,5.84306650932376,1.4357272283673,0.159322001419078,0.410106107902765,-5.37708458354858
"TraesCS5A03G0045900",0.624740294015119,6.92968569809604,1.88278233860118,0.0674600414752541,0.252156465708474,-4.97976609394185
"TraesCS1A03G0647000",0.863440682891302,3.40359587115789,1.03213054681998,0.30858401527708,0.586690596946547,-5.31346182325008
"TraesCS5A03G0546100",0.0376322103875282,5.63972659749613,0.0785535348683832,0.937803022989418,0.971882002290514,-6.34721868525263
"TraesCS4A03G0123000",0.240369791905473,7.58158017662181,0.966212045959001,0.340092832588417,0.610530709016105,-6.47560337159965
"TraesCS2A03G0201400",0.0345615635996216,3.45213855387491,0.0405865489229077,0.967839591033671,0.990778628153927,-5.80968372932342
"TraesCS1A03G0827800",0.0183896086745498,6.00972577455852,0.0392421686753937,0.968904294805074,0.990778628153927,-6.3564404466591
"TraesCS2A03G0315900",-0.408386548988528,5.86938203834856,-0.986693150501492,0.330080697790354,0.605981000822467,-5.95153060526784
"TraesCS4A03G0063800",0.747389275577298,6.53057070741123,1.98278679555115,0.0547092089154278,0.224074951408933,-4.66771149701846
"TraesCS3A03G1267300",0.818702147568968,6.98893562933767,3.37970879209347,0.00169867137842345,0.0146963703526523,-1.95975896751755
"TraesCS6A03G0431400",-0.533110081698972,5.97656246487907,-1.14393434501883,0.259859112016725,0.532158287906591,-5.7384030835375
"TraesCS6A03G0997300",0.684664929935784,4.18877077529949,0.984360261041082,0.331211008303859,0.605981000822467,-5.50347855885783
"TraesCS5A03G0918900",0.0133002843129794,7.12255467704179,0.0424662634248022,0.96635102101882,0.990778628153927,-6.74457419610682
"TraesCS7A03G0456600",-0.323938338945122,5.50669627638194,-0.615166416249182,0.542138876901049,0.765558969049541,-6.02116129321651
"TraesCS6A03G0065500",1.07444941386944,6.88577378746151,2.97368438884459,0.00510613536793032,0.0378050407048687,-2.63006177837075
"TraesCS2A03G1072000",0.309601764371562,6.06310630685838,0.675759791387071,0.503315648622956,0.73797721204404,-6.13008439468206
"TraesCS7A03G1176300",0.0506161129868086,11.9423996606141,0.698229555104294,0.489316354379499,0.728786093344605,-7.9627606155588
