"gene","sample","pval","adjpval","MAF","delta","rref","ralt"
"TraesPARA_EIv1.0_1193930","PxCS1",0.241241,0.599339715387312,0.627425864787206,0.752072483471705,32,19
"TraesPARA_EIv1.0_1265780","PxCS1",1,1,0.52,-0.115477216495132,12,13
"TraesPARA_EIv1.0_1196000","PxCS1",0.002388,0.0179492513255567,0.66304347826087,-0.97654102488723,31,61
"TraesPARA_EIv1.0_1196220","PxCS1",0,0,0.58699861907712,0.507309944975304,651,458
"TraesPARA_EIv1.0_1196260","PxCS1",0.775162,1,0.583333333333333,0.48542681892627,7,5
"TraesPARA_EIv1.0_1196320","PxCS1",0.039206,0.181985676489849,0.674125411529505,-0.906890593504588,32,60
"TraesPARA_EIv1.0_1196470","PxCS1",0.10532,0.367556947316593,0.589464119982992,-0.0642891283390617,395,413
"TraesPARA_EIv1.0_1197230","PxCS1",0,0,0.980058347375547,5.22239239793559,224,6
"TraesPARA_EIv1.0_1182620","PxCS1",0.173892,0.497880471728594,0.588185605118038,0.430634353925179,124,92
"TraesPARA_EIv1.0_1197250","PxCS1",0.040228,0.185635458333333,0.530442173178594,0.151823195049033,891,802
"TraesPARA_EIv1.0_1182650","PxCS1",0.794013,1,0.560056105384777,0.0384741477120258,38,37
"TraesPARA_EIv1.0_1182730","PxCS1",0.30543,0.678648225705329,0.546725864170373,-0.227995127483765,257,301
"TraesPARA_EIv1.0_1182740","PxCS1",0.462511,0.820462143535884,0.564101375292513,0.330645311540757,83,66
"TraesPARA_EIv1.0_1182780","PxCS1",0.04521,0.201851974842767,0.75,1.58496248469121,18,6
"TraesPARA_EIv1.0_1197900","PxCS1",0,0,0.740728849903957,1.14472444706061,681,308
"TraesPARA_EIv1.0_1198000","PxCS1",0.026062,0.133377224548736,0.567525596394103,0.360671795973466,217,169
"TraesPARA_EIv1.0_1198140","PxCS1",0,0,0.86293026544239,2.54432051441264,385,66
"TraesPARA_EIv1.0_1199040","PxCS1",0.924372,1,0.542881395577317,-0.247927512731729,32,38
"TraesPARA_EIv1.0_1199260","PxCS1",0,0,0.829511615670125,-2.28010791100938,14,68
"TraesPARA_EIv1.0_1199270","PxCS1",2.2e-05,0.000253142857142857,0.882518752235136,-2.90689056435013,4,30
"TraesPARA_EIv1.0_1199540","PxCS1",0.804122,1,0.523076923076923,0.13326653045283,34,31
"TraesPARA_EIv1.0_1199700","PxCS1",0.558822,0.89270460581474,0.552169685025535,-0.158064846074658,95,106
"TraesPARA_EIv1.0_1199720","PxCS1",0.348761,0.722381709611452,0.571611877008084,0.265733555162057,107,89
"TraesPARA_EIv1.0_1199840","PxCS1",0.783827,1,0.54837913913896,0,31,31
"TraesPARA_EIv1.0_1199860","PxCS1",0.002482,0.0185378461538462,0.673167923454697,1.04439411703593,66,32
"TraesPARA_EIv1.0_1199880","PxCS1",0.514007,0.862315175384615,0.592255821310834,0.54056837931342,32,22
"TraesPARA_EIv1.0_1199900","PxCS1",0,0,0.875414857267715,-1.94656074039102,165,636
"TraesPARA_EIv1.0_1199950","PxCS1",0.603595,0.922725003424658,0.577044873273467,-0.222392420477701,24,28
"TraesPARA_EIv1.0_1200160","PxCS1",0.025968,0.132992184971098,0.591194968553459,-0.532221037964434,65,94
"TraesPARA_EIv1.0_1200510","PxCS1",0.006966,0.0457176,0.65721675194073,-0.92092842810119,75,142
"TraesPARA_EIv1.0_1200540","PxCS1",1.6e-05,0.000187761589403974,0.745759846337639,-1.41503749593927,27,72
"TraesPARA_EIv1.0_1183130","PxCS1",1,1,0.545454545454545,-0.26303440102481,5,6
"TraesPARA_EIv1.0_1183310","PxCS1",0.001923,0.0148709019607843,0.928571428571429,3.70043958496925,13,1
"TraesPARA_EIv1.0_1183510","PxCS1",0.959248,1,0.554422833746525,0.311944005347416,36,29
"TraesPARA_EIv1.0_1183550","PxCS1",8.2e-05,0.000862338278931751,0.52406015037594,0.138953156435896,3485,3165
"TraesPARA_EIv1.0_1203420","PxCS1",0.458295,0.817000744466801,0.586206896551724,0.502500336993166,17,12
"TraesPARA_EIv1.0_1203430","PxCS1",0.056808,0.239638112359551,0.563352389437127,0.354572857858551,257,201
"TraesPARA_EIv1.0_1183600","PxCS1",0.878933,1,0.560649619251409,0.263034405032296,36,30
"TraesPARA_EIv1.0_1203470","PxCS1",4.2e-05,0.000462260869565217,0.745186540155734,1.45371796346031,63,23
"TraesPARA_EIv1.0_1203670","PxCS1",0.790056,1,0.571428571428572,-0.415037493267614,6,8
"TraesPARA_EIv1.0_1203710","PxCS1",0.031078,0.1528666648161,0.620689655172414,-0.710493381104869,33,54
"TraesPARA_EIv1.0_1205420","PxCS1",0.263626,0.633202672992206,0.65,0.893084786571213,13,7
"TraesPARA_EIv1.0_1206750","PxCS1",1,1,0.545454545454545,-0.26303440102481,5,6
"TraesPARA_EIv1.0_1206910","PxCS1",0.746489,1,0.557657749125611,-0.334419037772783,23,29
"TraesPARA_EIv1.0_1209970","PxCS1",0.327062,0.707530346048215,0.615384615384615,0.678071899702531,16,10
"TraesPARA_EIv1.0_1210500","PxCS1",0.975015,1,0.529403625120076,0.101879613779298,44,41
"TraesPARA_EIv1.0_1210730","PxCS1",0.011743,0.0711404991452991,0.909090909090909,-3.32192796504482,1,10
"TraesPARA_EIv1.0_1211770","PxCS1",0,0,0.791480396492431,-1.88690621948355,63,233
"TraesPARA_EIv1.0_1211940","PxCS1",1,1,0.533333333333333,-0.192645075366155,7,8
"TraesPARA_EIv1.0_1273460","PxCS1",0.538704,0.885359518072289,0.545454545454545,-0.263034405032297,30,36
"TraesPARA_EIv1.0_1274090","PxCS1",0.838661,1,0.541666666666667,0.24100809748604,13,11
"TraesPARA_EIv1.0_1274760","PxCS1",0.826879,1,0.518072289156627,-0.104336659563103,40,43
"TraesPARA_EIv1.0_1275160","PxCS1",1,1,0.520059368720756,0.115477216495132,13,12
"TraesPARA_EIv1.0_1277390","PxCS1",0.135959,0.428682113879004,0.655172413793103,0.925999411722405,19,10
"TraesPARA_EIv1.0_1278930","PxCS1",1,1,0.526315789473684,-0.152003091842056,9,10
"TraesPARA_EIv1.0_1279330","PxCS1",0.361737,0.735132661507595,0.6,0.58496249671367,18,12
"TraesPARA_EIv1.0_1279420","PxCS1",0.000108,0.00111427074235808,0.815789473684211,2.1468413723732,31,7
"TraesPARA_EIv1.0_1279980","PxCS1",1,1,0.5,0,9,9
"TraesPARA_EIv1.0_1280550","PxCS1",1,1,0.545454545454545,0.26303440102481,6,5
"TraesPARA_EIv1.0_1280670","PxCS1",0.210503,0.557248166728694,0.6875,-1.13750350801144,5,11
"TraesPARA_EIv1.0_1282140","PxCS1",0.014723,0.0845677666126418,0.76,-1.66296499627064,6,19
"TraesPARA_EIv1.0_1283570","PxCS1",0.228334,0.580819539619935,0.579710144927536,-0.463947098391717,29,40
"TraesPARA_EIv1.0_1284320","PxCS1",0.23755,0.593502863572433,0.666666666666667,-0.999999987977541,6,12
"TraesPARA_EIv1.0_1284340","PxCS1",0.596131,0.920028870245599,0.5625,-0.362570077094716,14,18
"TraesPARA_EIv1.0_1284420","PxCS1",0.01537,0.0873637209302326,0.718504995277261,-1.34792329545738,11,28
"TraesPARA_EIv1.0_1284450","PxCS1",0.301999,0.674908544766709,0.666666666666667,0.99999998557305,10,5
"TraesPARA_EIv1.0_1284460","PxCS1",0.16112,0.475382489184692,0.607843137254902,0.632268212939893,31,20
"TraesPARA_EIv1.0_1284600","PxCS1",0.086889,0.321602732114882,0.666365516794694,0.999999994451173,26,13
"TraesPARA_EIv1.0_1284800","PxCS1",0.120049,0.393756275798242,0.660145069209221,-0.395928674508788,19,25
"TraesPARA_EIv1.0_1284820","PxCS1",0.011668,0.0707466073567151,0.909090909090909,-3.32192796504482,1,10
"TraesPARA_EIv1.0_1284900","PxCS1",0.53227,0.878557187427241,0.560975609756097,0.353636952872315,23,18
"TraesPARA_EIv1.0_1285000","PxCS1",0.681801,0.971283818400964,0.567303757425446,-0.389946517137769,29,38
"TraesPARA_EIv1.0_1285070","PxCS1",0.426021,0.790232255363684,0.56140350877193,0.356143808962917,32,25
"TraesPARA_EIv1.0_1285140","PxCS1",0.245407,0.606435346113628,0.599651262714337,-0.584962498871547,26,39
"TraesPARA_EIv1.0_1285290","PxCS1",0.075469,0.291829935624659,0.712674692595763,-1.28010790706925,7,17
"TraesPARA_EIv1.0_1285440","PxCS1",0.9138,1,0.536969421611543,0,27,27
"TraesPARA_EIv1.0_1285560","PxCS1",0,0,0.701294576074736,-1.22239242019145,72,168
"TraesPARA_EIv1.0_1285640","PxCS1",0.648963,0.949793463555647,0.578947368421053,-0.459431613719019,8,11
"TraesPARA_EIv1.0_1285850","PxCS1",1,1,0.538461538461539,0.22239241790146,7,6
"TraesPARA_EIv1.0_1285860","PxCS1",0.226196,0.579741777617848,0.727272727272727,1.4150374692227,8,3
"TraesPARA_EIv1.0_1285880","PxCS1",0.57193,0.903608632939603,0.554120907846183,-0.313157884406595,33,41
"TraesPARA_EIv1.0_1285910","PxCS1",0.591958,0.916147213973799,0.534923889060357,0.202105407049667,153,133
"TraesPARA_EIv1.0_1286290","PxCS1",1,1,0.510204081632652,0.0588936888131194,25,24
"TraesPARA_EIv1.0_1286310","PxCS1",0.030854,0.152187301322199,0.777777777777778,-1.80735489629519,4,14
"TraesPARA_EIv1.0_1286440","PxCS1",0.917733,1,0.557119495995059,0.142019004406039,32,29
"TraesPARA_EIv1.0_1286520","PxCS1",0,0,0.889183229765817,-2.81942774707398,17,120
"TraesPARA_EIv1.0_1286550","PxCS1",0.509522,0.858244281368821,0.605007131717517,-0.612976873953138,17,26
"TraesPARA_EIv1.0_1286590","PxCS1",0.450462,0.814686151491966,0.574134972545046,-0.184424570743965,44,50
"TraesPARA_EIv1.0_1286840","PxCS1",0.803884,1,0.5625,-0.362570074804724,7,9
"TraesPARA_EIv1.0_1286880","PxCS1",0.206207,0.553220409829868,0.607834067586424,0.227410495589919,48,41
"TraesPARA_EIv1.0_1286940","PxCS1",0.279082,0.651988535266974,0.666457535774458,-0.999999990983156,8,16
"TraesPARA_EIv1.0_1286960","PxCS1",1,1,0.508750504536821,-0.0506260728922963,28,29
"TraesPARA_EIv1.0_1286970","PxCS1",0.756502,1,0.590840815458615,0,11,11
"TraesPARA_EIv1.0_1286990","PxCS1",0.84935,1,0.535427289658158,-0.0681715025341825,62,65
"TraesPARA_EIv1.0_1287110","PxCS1",0.112121,0.376463120795831,0.570549992689,-0.332270038895308,139,175
"TraesPARA_EIv1.0_1287140","PxCS1",0.060636,0.24973153282975,0.734546637509686,1.45943160716131,22,8
"TraesPARA_EIv1.0_1287180","PxCS1",0.764681,1,0.571628595175849,-0.229481845391177,29,34
"TraesPARA_EIv1.0_1287190","PxCS1",0.038589,0.180503689269256,0.549130920347769,0.101283335801614,295,275
"TraesPARA_EIv1.0_1287270","PxCS1",1,1,0.538461538461539,0.22239241790146,7,6
"TraesPARA_EIv1.0_1287310","PxCS1",0.387583,0.758732411132543,0.666666666666667,0.999999981966312,8,4
"TraesPARA_EIv1.0_1287380","PxCS1",0.238138,0.593502863572433,0.553921385134936,-0.222392421107449,90,105
