gene_id	meth_CS	cov_CS	meth_CSxP	cov_CSxP	meth_P	cov_P	pct_CS	pct_CSxP	pct_P	subgenome	category.x	category.y
TraesCS1B03G0502700	880	1082	826	976	819	1125	81.3308687615527	84.6311475409836	72.8	B	CS_dominant	Conserved
TraesCS1B03G0503200	1660	2116	1453	1776	1758	2108	78.4499054820416	81.8130630630631	83.3965844402277	B	conserved_mC	Conserved
TraesCS1B03G0504700	493	1412	527	1489	713	1761	34.915014164306	35.392881128274	40.488358886996	B	conserved_mC	Trans only
TraesCS1B03G0507000	1416	2078	1060	1514	1027	1577	68.1424446583253	70.0132100396301	65.1236525047559	B	conserved_mC	Conserved
TraesCS1B03G0512400	141	211	131	230	226	358	66.824644549763	56.9565217391304	63.1284916201117	B	underdominant	Conserved
TraesCS1B03G0513500	725	1094	676	1205	672	1092	66.2705667276051	56.0995850622407	61.5384615384615	B	underdominant	Conserved
TraesCS1B03G0515400	778	1787	621	1620	785	2014	43.5366536094012	38.3333333333333	38.9771598808342	B	conserved_mC	Conserved
TraesCS1B03G0516100	25	1308	25	1002	19	1285	1.91131498470948	2.49500998003992	1.47859922178988	B	conserved_mC	Conserved
TraesCS1B03G0517600	444	1428	410	1437	610	2002	31.0924369747899	28.5316631871956	30.4695304695305	B	conserved_mC	Conserved
TraesCS1B03G0517800	615	1014	444	890	455	809	60.6508875739645	49.8876404494382	56.2422744128554	B	underdominant	Trans only
TraesCS1B03G0518100	15	676	17	938	11	714	2.2189349112426	1.81236673773987	1.5406162464986	B	conserved_mC	Conserved
TraesCS1B03G0519600	635	758	477	553	486	592	83.7730870712401	86.2567811934901	82.0945945945946	B	conserved_mC	Conserved
TraesCS1B03G0521200	152	251	111	161	81	112	60.5577689243028	68.944099378882	72.3214285714286	B	conserved_mC	Conserved
TraesCS1B03G0533000	128	610	129	620	158	738	20.9836065573771	20.8064516129032	21.4092140921409	B	conserved_mC	Conserved
TraesCS1B03G0533700	235	325	154	286	99	345	72.3076923076923	53.8461538461539	28.695652173913	B	additive	Conserved
TraesCS1B03G0536900	864	1942	801	1736	977	2027	44.4902162718847	46.1405529953917	48.1993093241243	B	conserved_mC	Conserved
TraesCS1B03G0537300	304	384	279	356	309	381	79.1666666666667	78.3707865168539	81.1023622047244	B	conserved_mC	Conserved
TraesCS1B03G0539000	110	291	142	303	157	377	37.8006872852234	46.8646864686469	41.6445623342175	B	overdominant	Conserved
TraesCS1B03G0540000	26	1138	26	943	33	1084	2.28471001757469	2.75715800636267	3.04428044280443	B	conserved_mC	Conserved
TraesCS1B03G0541100	401	1118	361	1071	390	1017	35.8676207513417	33.7068160597572	38.3480825958702	B	conserved_mC	Conserved
TraesCS1B03G0541300	1044	2261	1132	3088	963	2650	46.1742591773552	36.6580310880829	36.3396226415094	B	conserved_mC	Conserved
