"gene","category"
"TraesPARA_EIv1.0_0020520","Conserved"
"TraesPARA_EIv1.0_0020560","Conserved"
"TraesPARA_EIv1.0_0020910","Conserved"
"TraesPARA_EIv1.0_0020960","Ambiguous"
"TraesPARA_EIv1.0_0021110","Trans only"
"TraesPARA_EIv1.0_0021440","Conserved"
"TraesPARA_EIv1.0_0021450","Ambiguous"
"TraesPARA_EIv1.0_0021700","Conserved"
"TraesPARA_EIv1.0_0021710","Conserved"
"TraesPARA_EIv1.0_0021760","Conserved"
"TraesPARA_EIv1.0_0021850","Ambiguous"
"TraesPARA_EIv1.0_0021960","Ambiguous"
"TraesPARA_EIv1.0_0022080","Trans only"
"TraesPARA_EIv1.0_0022660","Ambiguous"
"TraesPARA_EIv1.0_0022830","Ambiguous"
"TraesPARA_EIv1.0_0023040","Conserved"
"TraesPARA_EIv1.0_0023280","Ambiguous"
"TraesPARA_EIv1.0_0023330","Conserved"
"TraesPARA_EIv1.0_0023360","Ambiguous"
"TraesPARA_EIv1.0_0023430","Conserved"
"TraesPARA_EIv1.0_0023530","Ambiguous"
"TraesPARA_EIv1.0_0023570","Conserved"
"TraesPARA_EIv1.0_0023670","Ambiguous"
"TraesPARA_EIv1.0_0023690","Ambiguous"
"TraesPARA_EIv1.0_0024200","Conserved"
"TraesPARA_EIv1.0_0024210","Conserved"
"TraesPARA_EIv1.0_0024250","Ambiguous"
"TraesPARA_EIv1.0_0024270","Cis + trans"
"TraesPARA_EIv1.0_0024280","Ambiguous"
"TraesPARA_EIv1.0_0024860","Ambiguous"
"TraesPARA_EIv1.0_0024900","Ambiguous"
"TraesPARA_EIv1.0_0024970","Conserved"
"TraesPARA_EIv1.0_0025000","Ambiguous"
"TraesPARA_EIv1.0_0025030","Ambiguous"
"TraesPARA_EIv1.0_0025220","Ambiguous"
"TraesPARA_EIv1.0_0025360","Conserved"
"TraesPARA_EIv1.0_0025390","Ambiguous"
"TraesPARA_EIv1.0_0025670","Ambiguous"
"TraesPARA_EIv1.0_0025800","Compensatory"
"TraesPARA_EIv1.0_0025870","Compensatory"
"TraesPARA_EIv1.0_0026090","Conserved"
"TraesPARA_EIv1.0_0026160","Ambiguous"
"TraesPARA_EIv1.0_0026200","Conserved"
